date,value
1992-01-01,147.0
1997-01-01,205.0
2002-01-01,266.0
2003-01-01,272.0
2004-01-01,290.0
2005-01-01,276.0
2006-01-01,301.0
2007-01-01,328.0
2008-01-01,345.0
2009-01-01,346.0
2010-01-01,400.0
2011-01-01,486.0
2012-01-01,484.0
2013-01-01,502.0
2014-01-01,492.0
2015-01-01,472.0
2016-01-01,402.0
2017-01-01,429.0
2018-01-01,459.0
2019-01-01,461.0
2020-01-01,365.0
2021-01-01,418.0
2022-01-01,441.0
