Year,AI Preparedness Index [AI_PI],Animal and vegetable oils and fats [SITC1_4],Beverages and tobacco [SITC1_1],Bond openness index (1=fully liberalized) [Ka_bo],Central Government Debt [CG_DEBT_GDP],Chemicals [SITC1_5],Collective investment openness index (1=fully liberalized) [Ka_ci],Commercial credit openness index (1=fully liberalized) [Ka_cc],Commodity & transactions not classified accord to kind [SITC1_9],"Crude materials, inedible, except fuels [SITC1_2]","Current account balance
U.S. dollars [BCA]","Current account balance, percent of GDP [BCA_NGDPD]",Cyclically adjusted balance [GGCB_G01_PGDP_PT],Cyclically adjusted primary balance [GGCBP_G01_PGDP_PT],DEBT [DEBT1],Debt Forgiveness [DebtForg],Debt Securities Assets [DebtA],Debt Securities Liabilities [DebtL],Derivative investment openness index (1=fully liberalized) [Ka_dr],Digital Infrastructure [DI],Direct Investment Abroad [DirectAbroad],Direct Investment In Country [DirectIn],Direct investment liquidation openness index (1=fully liberalized) [ka_ldi],Direct investment openness index (1=fully liberalized) [Ka_di],Equity Securities Assets [EquityA],Equity Securities Liabilities [EquityL],Equity openness index (1=fully liberalized) [Ka_eq],Expenditure [G_X_G01_GDP_PT],Export Diversification Index [total_theil],Export Quality Index [SITC1_total],Extensive Margin [extensive],Financial Derivatives [Deriv],"Financial Market Openness Index (equity, bond, money market, collective investment, derivates) 1=fully liberalized [FM_ka]",Financial credit openness index (1=fully liberalized) [Ka_fc],Fiscal Rule Indicator [FR_ind],Food and live animals [SITC1_0],"GDP based on PPP, share of world [PPPSH]","GDP per capita, current prices [PPPPC]","GDP per capita, current prices
 [NGDPDPC]","GDP, current prices [NGDPD]","GDP, current prices [PPPGDP]",Gender Budgeting Indicator [GRB_dummy],Gender Development Index (GDI) Time Consistent [GDI_TC],Gender Inequality Index (GII) Time Consistent [GII_TC],General government gross debt [GGXWDG_NGDP],General government net lending/borrowing [GGXCNL_NGDP],"Government expenditure, percent of GDP [exp]","Government primary balance, percent of GDP [pb]","Government primary expenditure, percent of GDP [prim_exp]","Government revenue, percent of GDP [rev]",Gross debt position [G_XWDG_G01_GDP_PT],"Gross public debt, percent of GDP [d]",Guarantee openness index (1=fully liberalized) [Ka_gu],Human Capital and Labor Market Policies [HCLMP],Implied PPP conversion rate [PPPEX],"Inflation rate, average consumer prices [PCPIPCH]","Inflation rate, end of period consumer prices [PCPIEPCH]",Innovation and Economic Integration [IEI],Intensive Margin [intensive],"Interest paid on public debt, percent of GDP [ie]",Machinery and transport equipment [SITC1_7],Manufact goods classified chiefly by material [SITC1_6],"Mineral fuels, lubricants and related materials [SITC1_3]",Miscellaneous manufactured articles [SITC1_8],Money market openness index (1=fully liberalized) [Ka_mm],Net lending/borrowing (also referred as overall balance) [GGXCNL_G01_GDP_PT],Nominal GDP [GDP],Nonfinancial Public Sector Debt [NFPS_DEBT_GDP],Nonresident Openness Index (1=fully liberalized) [Nonres_ka],Openness of Capital Inflows Index  (1=fully liberalized) [ka_in],Openness of Capital Outflows Index   (1=fully liberalized) [ka_out],Other Investment Assets [OtherA],Other Investment Liabilities [OtherL],Overall Openness Index (all asset categories) [ka_new],Personal capital transaction openness index (1=fully liberalized) [ka_pct],Population [LP],Portfolio Investment Assets [Portfa],Portfolio Investment Liabilities [Portfl],Primary net lending/borrowing (also referred as primary balance) [GGXONLB_G01_GDP_PT],Private Inflows excluding Direct Investment [PrivInexDI],Private Inflows excluding Direct Investment (% of GDP) [PrivInexDIGDP],Private Outflows excluding Direct Investment [PrivOutexDI],Private Outflows excluding Direct Investment (% of GDP) [PrivOutexDIGDP],"Private debt, loans and debt securities [PVD_LS]",Proxy for Official Other Investment Liabilities [OtherGov],Ratio of reserve/ARA metric  [Reserves_ARA],Real GDP growth [NGDP_RPCH],"Real GDP growth rate, percent [rgc]",Real estate capital transaction openness index (1=fully liberalized) [ka_ret],Regulation and Ethics [RE],Reserve/(Import/12)  [Reserves_M],Reserves/Broad Money [Reserves_M2],Reserves/Short-term Debt (STD) [Reserves_STD],Resident Openness Index (1=fully liberalized) [Res_ka],Revenue [GGR_G01_GDP_PT],Unemployment rate [LUR]
2010,,0.73260325,0.89983022,0.75,18.184972,0.87240291,0.75,0.5,,0.40552381,-1.582,-2.3,-0.35441542585378,0.24459241072921,19.68,116.08,186.63,-10.59,1,,0,165.32,1,1,534.29,0.41,0.75,35.395570781309,3.9817336,0.7045716,1.110778856,0,0.8,0.5,1,0.83379436,0.149,8809.694,4578.936,68.151,131.12,3,,0.43,18.4,-1.4,35.39557078131,-0.77987635146406,34.790074180711,34.010197829247,18.435544001459,18.435544271968,0.5,,0.52,3.6,3.3,,2.870954773,0.60549660059814,0.87054104,0.83454454,0.57427531,0.88207555,0.75,-1.3853729520622,69555.37,18.435544,1,1,0.5,-247.61,734.21,0.77,1,14.884,720.92,-10.18,-0.77987635146403,42.76,0.06,473.31,0.68,27.198398,681.27,0.2537528925,4,3.5252986689403,1,,0.9153743084,0.0912207062,0.6255751659,0.6,34.010197829247,5
2011,,0.69409257,0.93788892,0.75,17.324574,0.87924773,0.75,0.5,0.4283655,0.41357994,-0.4,-0.5,-1.4941506065659,-0.85160902306573,19.43,109.18,-188.59,-8.58,1,,0,643.71,1,1,140.99,1.96,0.75,39.614592874127,4.0738993,0.70448112,1.151461978,0,0.8,0.5,1,0.82696712,0.155,9575.898,5209.999,78.987,145.176,3,,0.43,18.6,-0.1,39.614592874127,0.50847129802455,38.978927909744,39.487399207769,18.607203385466,18.607203621041,0.5,,0.544,4.5,5.4,,2.922437191,0.63566496438276,0.87767452,0.84434599,0.59279251,0.89579386,0.75,-0.12719366635814,79276.66,18.607204,1,1,0.5,2496.81,2231.16,0.77,1,15.161,-47.6,-6.62,0.50847129802462,221.55,0.28,2449.21,3.09,27.207627,2002.99,0.2475452287,8.5,8.4814765633282,1,,0.9966815779,0.086685704,0.7264284884,0.6,39.487399207769,4.2
2012,,0.6851154,0.93981826,0.75,20.130039,0.88064402,0.75,0.5,0.42648214,0.4202154,-0.146,-0.2,-4.2182432990344,-3.6859158451207,21.61,148.71,-598.95,-76.63,1,,0,567.04,1,1,460.24,4.62,0.75,43.168690944637,4.0877237,0.68705344,1.117079389,0,0.8,0.5,1,0.81714213,0.159,10131.213,5682.119,87.735,156.431,3,0.98,0.42,19.3,-2.8,43.168690944637,-2.1141473565614,42.447966398429,40.333819041867,19.341320947429,19.341320506526,0.5,,0.561,5.1,4.2,,2.970644488,0.72072454620864,0.87775928,0.85071498,0.56988466,0.90448749,0.75,-2.83487190277,87623.41,19.341321,1,1,0.5,1573.06,393.61,0.77,1,15.441,-138.71,-72.01,-2.3127612459727,-134.23,-0.15,1434.35,1.64,27.106945,455.83,0.19055422,5.8,5.783212336172,1,,0.7860767637,0.0626889786,0.3818785063,0.6,40.333819041867,4.1
2013,,0.7420004,0.92324907,0.5,22.565211,0.8838076,0.5,0.5,0.43273249,0.42399448,-0.933,-1,-9.5881660977308,-9.3452399863763,25.9,95.71,420.73,-8.58,0.5,,0,732.02,1,1,482.74,2.21,0.5,46.730264839858,4.2288809,0.65908647,1.177709399,0,0.5,0.5,1,0.81472445,0.165,10852.01,6144.123,96.57,170.567,3,0.98,0.41,23.4,-8.2,46.730264839858,-7.2768284928707,45.841882311039,38.565053818169,23.425528257062,23.425527529338,0.5,,0.566,2.7,2.7,,3.051171448,0.88838252881877,0.88384151,0.82490706,0.52198458,0.904598,0.5,-8.1652110216894,94472.68,23.425528,0.5,0.64,0.43,1087.55,4171.44,0.68,1,15.718,903.47,-6.38,-7.9305140865639,726.07,0.77,1991.02,2.11,27.874545,3438.99,0.347596344,7.2,7.2112365367916,1,,1.661208959,0.119183493,0.4299181831,0.5,38.565053818169,4.2
2014,,0.72992516,0.95049798,,27.251462,0.88671666,,,0.43502083,0.42181426,-0.669,-0.7,-9.282565121244,-9.0363060862523,31.18,97.59,82.46,1991.42,,,0,773.1,,,409.35,0.76,,45.933534790974,4.2979889,0.67354786,1.217793895,0,,,1,0.799245,0.166,11308.432,6422.124,102.718,180.871,3,,,28.2,-8.1,45.933534790974,-7.1329156452602,44.960133321133,37.827217675873,28.16297620884,28.162975934662,,,0.568,3.6,3.7,,3.08019489,0.97340146984083,0.88896024,0.85713083,0.55991346,0.90558624,,-8.106317115101,100543.17,28.162976,,,,5453.79,3490.86,,,15.994,491.81,1992.18,-7.8689502715983,3093.37,3.08,5945.6,5.91,29.157148,2389.67,0.2724952346,4.2,4.2260652038846,,,1.889179896,0.0938013891,0.3817196849,,37.827217675873,3.8
2015,,,,,31.611501,,,,,,-2.221,-2.3,-8.745254547106,-8.2694895956432,33.83,,,,,,,,,,,,,44.088056553673,,,,,,,1,,0.161,11234.025,5975.078,97.21,182.768,3,,,36.4,-6.9,44.088056553673,-5.5025547242083,42.724238672725,37.221683948517,36.437971405208,36.437971405208,,,0.532,4,3.4,,,1.3638178809476,,,,,,-6.866372605156,,36.437971,,,,,,,,16.269,,,-6.4009923833371,,,,,36.445218,,0.1711077422,0.1,0.11969210928762,,,1.429296454,0.0592831566,0.262893,,37.221683948517,4.8
2016,,,,,36.446686,,,,,,0.9,0.9,-11.146087886286,-10.527961107058,,,,,,,,,,,,,,44.128134732969,,,,,,,1,,0.155,11083.519,5907.928,97.671,183.236,,,,46.1,-10.3,44.128134732968,-8.722925392461,42.558575221372,33.835649828911,46.066020108387,46.06602058003,,,0.533,1.7,1.1,,,1.5695595115965,,,,,,-10.292484904058,,46.066021,,,,,,,,16.532,,,-9.6781782319769,,,,,40.408621,,0.2342757768,-0.7,-0.68795424587795,,,1.998581988,0.0836544484,0.3340897451,,33.835649828911,5.2
2017,,,,,41.23972,,,,,,-0.406,-0.4,-5.8933370732186,-4.7833765797962,,,,,,,,,,,,,,40.48594930014,,,,,,,1,,0.159,11770.105,6220.968,104.467,197.653,,,,47.4,-5.8,40.48594930014,-3.716018758106,38.429793560137,34.713774802031,47.391467044195,47.391467044195,,,0.529,0.4,-0.2,,,2.0561557400032,,,,,,-5.7721744981092,,47.391467,,,,,,,,16.793,,,-4.6842229767022,,,,,41.390061,,0.0896432187,6,5.9703988095484,,,0.7345153074,0.0321500942,0.1390581346,,34.713774802031,4.6
2018,,,,,42.990926,,,,,,-1.649,-1.5,-3.6579656387192,-2.2352659382105,,,,,,,,,,,,,,40.92467532688,,,,,,,1,,0.157,12166.664,6293.459,107.479,207.781,,,,49.5,-2.8,40.92467532688,-0.32852892205749,38.450477778893,38.121948856836,49.505346182625,49.505346182625,,,0.517,-0.2,0.3,,,2.4741975479866,,,,,,-2.8027264700441,,49.505346,,,,,,,,17.078,,,-1.3959778118216,,,,,43.044339,,0.0911626657,1,1.0442936666652,,,0.8195764589,0.0334366945,0.1390679608,,38.121948856836,3.7
2019,,,,,,,,,,,-0.549,-0.5,-3.6047529755376,-2.0616668885421,,,,,,,,,,,,,,39.753152720389,,,,,,,1,,0.155,12530.831,6199.031,107.596,217.496,,,,52.1,-3.5,39.753152720389,-0.75270682060275,37.038254574478,36.285547753875,52.064365370518,52.06436488663,,,0.495,0.3,-0.1,,,2.7148981459113,,,,,,-3.467604966514,,52.064365,,,,,,,,17.357,,,-1.9243252450264,,,,,46.60094,,0.1231260712,0.2,0.16540539655389,,,1.549783767,0.0451397279,0.2301978027,,36.285547753875,3.8
2020,,,,,,,,,,,2.005,2.1,-4.9486302764916,-3.4127195196292,,,,,,,,,,,,,,40.200415564578,,,,,,,1,,0.144,11539.699,5469.758,95.865,202.25,,,,63.6,-7.4,40.200415564578,-4.4827377050229,37.307444588032,32.824706883009,63.550943476181,63.550943476181,,,0.474,-0.3,-0.9,,,2.892970976546,,,,,,-7.3757086815689,,63.550943,,,,,,,,17.526,,,-5.7613458607588,,,,,53.250724,,0.3186445443,-9.2,-9.2450954485561,,,2.946893172,0.1095524187,1.019680487,,32.824706883009,5.3
2021,,,,,,,,,,,3.041,2.8,-1.2134463823215,-1.0490362815698,,,,,,,,,,,,,,37.457023740064,,,,,,,1,,0.152,13559.634,6084.743,107.179,238.845,,,,61.8,-1.6,37.457023740064,-0.30570736091195,36.173944734888,35.868237373976,61.756361754521,61.756362906917,,,0.449,0.1,1.9,,,1.2830790051765,,,,,,-1.5887863660884,,61.756363,,,,,,,,17.614,,,-1.4209384177261,,,,,53.00331,,0.3312740182,9.4,9.4218925108395,,,2.586340752,0.112705339,0.9714553744,,35.868237373976,4.7
2022,,,,,,,,,,,2.249,1.9,-0.89659482593268,-0.46759728821047,,,,,,,,,,,,,,38.852724315022,,,,,,,1,,0.155,15288.802,6555.526,116.133,270.846,,,,57.2,0,38.852724315022,1.5842368930409,37.312135629178,38.896372522219,57.202736746348,57.202737238909,,,0.429,3.5,3.7,,,1.5405886858441,,,,,,0.043648207196824,,57.202737,,,,,,,,17.715,,,0.47474393975584,,,,,55.066216,,0.3286680445,5.9,5.8684223877523,,,2.865657238,0.1123173123,0.85298101,,38.896372522219,3.8
2023,0.4420759677887,,,,,,,,,,2.351,1.9,-3.5186700636967,-2.656686849722,,,,,,0.10049203783274,,,,,,,,39.453657436702,,,,,,,1,,0.153,16061.347,6792.722,121.147,286.451,,,,54.3,-3.5,39.453657436702,-1.327741072635,37.30017033596,35.972429263325,54.331669484283,54.331669484283,,0.12081720679998,0.423,2.2,1.3,0.092175871133804,,2.153487100742,,,,,,-3.4812281733769,,54.331669,,,,,,,,17.835,,,-2.6144925164527,,,,,56.60671,,0.171198012,2,1.9882376185116,,0.12859085202217,1.569227282,0.0554413283,0.3860344564,,35.972429263325,3.6
2024,,,,,,,,,,,7.068,5.7,-0.71912551716556,0.34595817071538,,,,,,,,,,,,,,38.071977442463,,,,,,,1,,0.145,16012.389,6939.335,124.676,287.688,,,,53.8,-1.3,38.071977442463,1.0363022948797,35.760136500993,36.796438795873,53.754388032309,55.039016888665,,,0.433,1.5,0.5,,,2.3118409414699,,,,,,-1.2755386465902,,55.039017,,,,,,,,17.967,,,-0.17518095546227,,,,,58.678115,,0.2605299227,-2,-2.0012534830319,,,2.274418715,0.0819774059,0.7143974807,,36.796438795873,3.4
2025,,,,,,,,,,,6.406,4.9,-0.73720866030618,0.3812399618502,,,,,,,,,,,,,,37.626401760657,,,,,,,,,0.146,16805.019,7210.108,130.529,304.232,,,,,,,,,,52.957228253787,,,,0.429,1.1,3.6,,,,,,,,,-1.2043988500402,,,,,,,,,,18.104,,,-0.073869827503329,,,,,,,0.3612147373,3.2,,,,3.166053974,0.1133179138,0.834616733,,36.422002910616,4
2026,,,,,,,,,,,4.563,3.4,0.41774406216972,1.6195029980501,,,,,,,,,,,,,,36.712188476912,,,,,,,,,0.144,17315.232,7383.917,134.711,315.896,,,,,,,,,,51.833855805631,,,,0.426,2.8,1.7,,,,,,,,,-0.048621100038269,,,,,,,,,,18.244,,,1.1563568190398,,,,,,,,2,,,,,,,,36.663567376874,3.8
2027,,,,,,,,,,,4.356,3.1,1.036126535747,2.1833694432725,,,,,,,,,,,,,,35.951054392468,,,,,,,,,0.143,17888.811,7626.814,140.226,328.903,,,,,,,,,,50.035372047568,,,,0.426,1.5,1.5,,,,,,,,,0.82396422594935,,,,,,,,,,18.386,,,1.9712071334748,,,,,,,,2.4,,,,,,,,36.775018618418,3.6
2028,,,,,,,,,,,4.317,3,1.4089181252828,2.5694852719092,,,,,,,,,,,,,,35.729157724626,,,,,,,,,0.142,18507.895,7883.003,146.065,342.935,,,,,,,,,,48.047063083659,,,,0.426,1.5,1.5,,,,,,,,,1.2530565179496,,,,,,,,,,18.529,,,2.413623664576,,,,,,,,2.6,,,,,,,,36.982214242576,3.5
2029,,,,,,,,,,,4.301,2.8,1.3368046072266,2.4597584953126,,,,,,,,,,,,,,35.427624238959,,,,,,,,,0.142,19210.67,8162.441,152.413,358.71,,,,,,,,,,45.398073352234,,,,0.425,1.5,1.5,,,,,,,,,1.2641138083147,,,,,,,,,,18.672,,,2.3870676964006,,,,,,,,2.8,,,,,,,,36.691738047274,3.5
2030,,,,,,,,,,,4.516,2.8,1.3205285199875,2.4081680894026,,,,,,,,,,,,,,35.140336874934,,,,,,,,,0.142,20004.889,8470.447,159.376,376.402,,,,,,,,,,42.446530301842,,,,0.423,1.5,1.5,,,,,,,,,1.2735520595892,,,,,,,,,,18.815,,,2.3611916290043,,,,,,,,3,,,,,,,,36.413888934523,3.5
